N,Song1,Song2,Cluster_1,Cluster_2
0,lady_love,word_warning,3,3
1,chatterbox_carew,chatterbox_jerome,0,0
2,prelude,dakota,1,1
3,messiah,fence,0,0
4,shepherd,beginthebeguine,3,3
5,sadness,youdbesonice,3,3
6,motheranddad,nearyou,0,0
7,goodnight,whilewedream,0,0
8,rendezvous,idreamed,3,3
9,mizpahshalom,shalom,3,3
10,mojoworkout,gotmymojoworking,2,2
11,jeanniemichele,themeatimetolove,3,3
12,daybyday,themetodayshow,1,1
13,dirlada,loopdilove,1,1
14,greengrassgrows,superstring,3,3
15,whereareyounow,whereareyou,3,3
16,gehtsparkasse,begood,4,4
17,heartbeat,getoveryou,4,4
18,blessees,janine,3,3
