N,Song,Cluster
0,timeformuehlebach,27
1,daybyday,62
2,begood,22
3,dirlada,0
4,kansas,29
5,confessing,20
6,tonighthesailedagain,1
7,menusong,19
8,ithinkaboutyou,30
9,phantomoftheopera,25
10,whereareyounow,51
11,themetodayshow,7
12,themeatimetolove,43
13,gehtsparkasse,58
14,whisper_to_me,35
15,goodnight,53
16,themetodayshow,7
17,chatterbox_carew,24
18,uncantoagalicia,17
19,word_warning,23
20,fence,11
21,bali,16
22,o_gladsome,34
23,does_anybody,25
24,shepherd,14
25,thehappywhistler,15
26,girlinthedark,4
27,spider,11
28,mysweetlord,64
29,timeformuehlebach,59
30,daybyday,39
31,roses,67
32,hessofine,12
33,letitend,42
34,light_myLife,8
35,niveau,38
36,wishing_song,66
37,old_eli,55
38,rendezvous,18
39,mojoworkout,23
40,gotmymojoworking,12
41,ithinkaboutyoutwo,58
42,muehlebachbeersmith,52
43,downunder,6
44,hey,46
45,muehlebachbeersmith,65
46,lady_divine_pt2,2
47,sognonostalgico,9
48,jeanniemichele,16
49,perhaps,30
50,lady_divine_pt3,27
51,mygodanditwo,30
52,lifeisarock,10
53,dakota,61
54,prelude,12
55,calledlove,8
56,myownsweet,29
57,lady_divine_pt1,10
58,o_light,28
59,light_myLife,28
60,tillyou,40
61,twilightwaltz,50
62,desert_song,1
63,littlespanishtown,41
64,whisper,35
65,youdbesonice,24
66,pourtoi,5
67,whilewedream,54
68,janine,33
69,vagyok,27
70,mizpahshalom,29
71,idreamed,6
72,messiah,32
73,itallcomes,37
74,getoveryou,22
75,es,28
76,iloveyouyesido,57
77,kalamazoo_warren,48
78,keeponsingingtwo,29
79,beginthebeguine,49
80,reich,3
81,kalamazoo_arnstein,26
82,pourtoi,5
83,whereareyou,67
84,sadness,30
85,littlespanishtown,56
86,someday_prince,5
87,loopdilove,21
88,heartbeat,22
89,keeponsinging,23
90,motheranddad,13
91,bisschenfrieden,11
92,el_rancho_anonymous,29
93,blessees,30
94,shalom,15
95,ilpostino,60
96,superstring,6
97,greengrassgrows,28
98,starlight,30
99,chatterbox_jerome,0
100,amothersprayer,63
101,lady_love,45
102,feelings,26
103,evangelimann,68
104,nearyou,44
105,howdeepisyourlove,1
106,sanfranciscobrewingad,29
107,alla_rancho,47
108,gumtree,31
109,diesererde,16
110,mitternachtstango,36
111,mygodandi,3
